"","company","rank","revenues","profits","employees","sector","city","state","ceo_founder","ceo_woman","profitable","market_cap","website","ticker","assets"
"363","American Tower",363,"$11144.2MM","$1483.3MM",5643,"Financials","Boston","Massachusetts","no","no","yes","$92146.5MM","https://www.americantower.com","AMT","$66027.6MM"
"364","Mohawk Industries",364,"$11135.1MM","$-439.5MM",43300,"Household Products","Calhoun","Georgia","no","no","no","$8337.2MM","https://www.mohawkind.com","MHK","$13559.9MM"
"365","Assurant",365,"$11131.6MM","$642.5MM",13600,"Financials","Atlanta","Georgia","no","no","yes","$9784.3MM","https://www.assurant.com","AIZ","$33635.2MM"
"366","Thor Industries",366,"$11121.6MM","$374.3MM",24900,"Motor Vehicles & Parts","Elkhart","Indiana","no","no","yes","$6257.1MM","https://www.thorindustries.com","THO","$7260.8MM"
"367","Graybar Electric",367,"$11042.4MM","$463.4MM",9500,"Wholesalers","St. Louis","Missouri","no","yes","yes","$NAMM","https://www.graybar.com","","$4006.1MM"
"368","Yum China Holdings",368,"$10978MM","$827MM",293500,"Hotels, Restaurants & Leisure","Plano","Texas","no","yes","yes","$15598.8MM","https://ir.yumchina.com","YUMC","$12031MM"
"369","Celanese",369,"$10940MM","$1960MM",12410,"Chemicals","Irving","Texas","no","yes","yes","$19173.3MM","https://www.celanese.com","CE","$26597MM"
"370","Qurate Retail",370,"$10915MM","$-145MM",20386,"Retailing","Englewood","Colorado","no","no","no","$510.9MM","https://www.qurateretail.com","QRTEA","$11368MM"
"371","Williams",371,"$10907MM","$3179MM",5601,"Energy","Tulsa","Oklahoma","no","no","yes","$47482MM","https://www.williams.com","WMB","$52627MM"
"372","Interpublic Group",372,"$10889.3MM","$1098.4MM",57400,"Business Services","New York","New York","no","no","yes","$12357.8MM","https://www.interpublic.com","IPG","$19267.3MM"
"373","Ovintiv",373,"$10883MM","$2085MM",1743,"Energy","Denver","Colorado","no","no","yes","$13958.7MM","https://www.ovintiv.com","OVV","$19987MM"
"374","Icahn Enterprises",374,"$10847MM","$-684MM",15038,"Financials","Sunny Isles Beach","Florida","no","no","no","$7297.9MM","https://www.ielp.com","IEP","$20858MM"
"375","Huntington Bancshares",375,"$10837MM","$1951MM",19955,"Financials","Columbus","Ohio","no","no","yes","$20308.6MM","https://www.huntington.com","HBAN","$189368MM"
"376","Erie Insurance Group",376,"$10812.5MM","$-526.6MM",6510,"Financials","Erie","Pennsylvania","no","no","no","$NAMM","https://www.erieinsurance.com","","$27515.2MM"
"377","Carvana",377,"$10771MM","$450MM",13700,"Retailing","Tempe","Arizona","yes","no","yes","$16943.7MM","https://www.carvana.com","CVNA","$7071MM"
"378","Hess",378,"$10645MM","$1382MM",1756,"Energy","New York","New York","no","no","yes","$46883.7MM","https://www.hess.com","HES","$24007MM"
"379","Dana",379,"$10555MM","$38MM",41800,"Motor Vehicles & Parts","Maumee","Ohio","no","no","yes","$1840.9MM","https://www.dana.com","DAN","$7965MM"
"380","Alcoa",380,"$10551MM","$-651MM",13600,"Materials","Pittsburgh","Pennsylvania","no","no","no","$6067.3MM","https://www.alcoa.com","AA","$14155MM"
"381","Equitable Holdings",381,"$10528MM","$1302MM",10700,"Financials","New York","New York","no","no","yes","$12532.3MM","https://www.equitableholdings.com","EQH","$276814MM"
"382","KLA",382,"$10496.1MM","$3387.3MM",15105,"Technology","Milpitas","California","no","no","yes","$94470.2MM","https://www.kla.com","KLAC","$14072.4MM"
